"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","AB","H","R","HR","RBI","SB","OPS","GP"
"*02mxf*","C","Carson Kelly","CHC","C","Act","31","94","360.1","349","86","43","14","45","2",".731","100"
"*041pz*","1B","Pete Alonso","BAL","1B","Act","31","100","25.92","598","155","85","34","107","1",".835","159"
"*02yd1*","2B","Jorge Polanco","NYM","2B","Act","32","100","202.73","462","114","63","21","73","6",".755","123"
"*05g3x*","3B","Maikel Garcia","KC","3B","Act","25","100","69.82","572","157","79","12","61","23",".746","153"
"*03atq*","SS","Willy Adames","SF","SS","Act","30","100","94.71","595","136","88","29","93","13",".745","156"
"*04eig*","CI","Jose Caballero","NYY","2B,3B,SS,OF","Act","29","100","291.83","340","76","49","6","37","41",".650","112"
"*05gwy*","MI","Masyn Winn","STL","SS","Act","23","100","295.49","549","139","78","13","55","10",".691","139"
"*04ppi*","OF","Kody Clemens","MIN","1B,2B,OF","Act","29","73","428.57","285","63","36","14","39","4",".730","83"
"*04aee*","OF","Jo Adell","LAA","OF","Act","26","100","129.18","536","123","67","34","90","7",".760","143"
"*051wv*","OF","Pete Crow-Armstrong","CHC","OF","Act","23","100","30.61","584","142","88","25","86","36",".748","155"
"*03dp8*","OF","Ramon Laureano","SD","OF","Act","31","100","206.6","445","119","66","20","65","7",".810","122"
"*04qnd*","OF","Noelvi Marte","CIN","3B,OF","Act","24","100","159.45","535","135","70","16","68","18",".704","134"
"*01usi*","UT","Marcell Ozuna","(N/A)","UT","Act","35","100","242.55","490","129","68","26","76","0",".832","134"
"*0648z*","OF","Victor Scott","STL","OF","Res","24","97","318.82","430","96","53","6","37","36",".604","126"
"*03dei*","OF","Lane Thomas","KC","OF","IR","30","76","431.05","394","91","52","14","50","12",".694","106"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","IP","QS","K","ERA","WHIP","SVH","GP"
"*025j1*","SP","Robbie Ray","SF","SP","Act","34","100","145.18","162","16","168","4.00","1.253","0","30"
"*04c0o*","SP","Jose Soriano","LAA","SP","Act","27","100","277.98","162","18","147","3.72","1.302","0","30"
"*0403o*","RP","Andres Munoz","SEA","RP","Act","27","100","90.24","58","0","78","3.10","1.121","37","62"
"*0374m*","RP","Tyler Rogers","TOR","RP","Act","35","22","480.85","69","0","51","3.26","1.130","33","75"
"*05ycf*","P","Noah Cameron","KC","SP","Act","26","100","218.08","172","17","152","3.82","1.262","0","30"
"*01ut7*","P","Nathan Eovaldi","TEX","SP","Act","35","100","154.82","151","17","146","3.34","1.079","0","26"
"*04n0m*","P","Logan Gilbert","SEA","SP","Act","28","100","42.22","172","19","196","3.51","1.035","0","30"
"*031d4*","P","Zack Littell","(N/A)","SP","Act","30","97","328.42","175","17","136","4.06","1.229","0","31"
"*051ui*","P","Jacob Lopez","ATH","SP","Act","27","96","378.53","112","11","122","4.58","1.393","0","23"
"*04mlx*","SP","Matthew Liberatore","STL","SP","Res","26","97","384.42","147","15","116","4.10","1.299","0","29"
"*03ql5*","RP","Ryan Helsley","BAL","RP","Res","31","100","218.76","57","0","69","3.79","1.228","28","56"
"*02c5l*","RP","Luke Weaver","NYM","RP","Res","32","38","452.69","67","0","76","3.76","1.179","26","59"
"*04ydi*","SP","Ronel Blanco","HOU","SP","IR","32","1","462.11","23","2","24","3.91","1.261","0","4"
"*03deg*","SP","Justin Steele","CHC","SP","IR","30","100","342.2","138","14","139","3.65","1.181","0","24"
"*05jpx*","P","Tink Hence","STL","SP","Min","23","10","480.04","52","6","56","3.81","1.288","0","10"

