"*03pir*",1,1,1,"OF","Kyle Tucker","HOU","gochargers","Mar 18, 2024 6:00:25"
"*03pom*",1,2,2,"3B","Austin Riley","ATL","pcorcoran3","Mar 18, 2024 6:00:43"
"*05r8n*",1,3,3,"SP","Yoshinobu Yamamoto","LAD","jackdoriss11","Mar 18, 2024 6:01:01"
"*03cag*",1,4,4,"OF","Kyle Schwarber","PHI","Verlander and Morton's Retirement Home","Mar 18, 2024 6:01:41"
"*042sz*",1,5,5,"C","Will Smith","LAD","Freddie","Mar 18, 2024 6:01:46"
"*041rd*",1,6,6,"SP","Corbin Burnes","BAL","OnlyDans","Mar 18, 2024 6:02:48"
"*04aq4*",1,7,7,"OF","Adolis Garcia","TEX","sheridan","Mar 18, 2024 6:03:05"
"*01ual*",1,8,8,"1B","Paul Goldschmidt","STL","Kposer","Mar 18, 2024 6:03:27"
"*01sb3*",1,9,9,"SP","Zack Wheeler","PHI","We <3 PEDs","Mar 18, 2024 6:04:08"
"*03nuc*",1,10,10,"SP","Luis Castillo","SEA","FIRE OLI","Mar 18, 2024 6:05:03"
"*060pm*",1,11,11,"OF","Wyatt Langford","TEX","Scotts Tots","Mar 18, 2024 6:05:45"
"*05m1e*",1,12,12,"OF","Jackson Chourio","MIL","The Schwarbombers","Mar 18, 2024 6:06:05"
"*03dc4*",2,1,13,"SP","Freddy Peralta","MIL","gochargers","Mar 18, 2024 6:06:22"
"*03dbm*",2,2,14,"SP","Logan Webb","SF","pcorcoran3","Mar 18, 2024 6:06:32"
"*040b5*",2,3,15,"OF","Randy Arozarena","TB","jackdoriss11","Mar 18, 2024 6:06:53"
"*041r1*",2,4,16,"SP","Jesus Luzardo","MIA","gochargers","Mar 18, 2024 6:07:15"
"*0512e*",2,5,17,"1B","Spencer Steer","CIN","Freddie","Mar 18, 2024 6:07:24"
"*04ptt*",2,6,18,"SP","Tarik Skubal","DET","OnlyDans","Mar 18, 2024 6:07:26"
"*03df2*",2,7,19,"SP","Dylan Cease","SD","sheridan","Mar 18, 2024 6:07:56"
"*0326s*",2,8,20,"2B","Ketel Marte","ARI","Kposer","Mar 18, 2024 6:08:01"
"*041q6*",2,9,21,"OF","Nolan Jones","COL","We <3 PEDs","Mar 18, 2024 6:08:56"
"*04yk2*",2,10,22,"1B","Spencer Torkelson","DET","FIRE OLI","Mar 18, 2024 6:09:37"
"*041ma*",2,11,23,"SP","Cole Ragans","KC","Scotts Tots","Mar 18, 2024 6:10:30"
"*05mdt*",2,12,24,"OF","Evan Carter","TEX","The Schwarbombers","Mar 18, 2024 6:10:41"
"*02xic*",3,1,25,"OF","Teoscar Hernandez","LAD","gochargers","Mar 18, 2024 6:11:36"
"*04pkr*",3,2,26,"2B","Nico Hoerner","CHC","pcorcoran3","Mar 18, 2024 6:12:23"
"*02mzg*",3,3,27,"3B","Max Muncy","LAD","jackdoriss11","Mar 18, 2024 6:12:45"
"*02n96*",3,4,28,"RP","Josh Hader","HOU","Verlander and Morton's Retirement Home","Mar 18, 2024 6:13:12"
"*",3,5,29,"","","","","Mar 18, 2024 6:13:12"
"*04ps7*",3,6,30,"SP","Joe Ryan","MIN","OnlyDans","Mar 18, 2024 6:13:15"
"*025i9*",3,7,31,"C","J.T. Realmuto","PHI","sheridan","Mar 18, 2024 6:13:37"
"*04my4*",3,8,32,"C","Cal Raleigh","SEA","Kposer","Mar 18, 2024 6:14:04"
"*",3,9,33,"","","","","Mar 18, 2024 6:14:04"
"*03dbo*",3,10,34,"SP","Jordan Montgomery","(N/A)","Verlander and Morton's Retirement Home","Mar 18, 2024 6:15:06"
"*03aac*",3,11,35,"SP","Walker Buehler","LAD","Scotts Tots","Mar 18, 2024 6:15:57"
"*02mwq*",3,12,36,"SP","Zach Eflin","TB","The Schwarbombers","Mar 18, 2024 6:16:58"
"*05xor*",4,1,37,"1B","Christian Encarnacion-Strand","CIN","Scotts Tots","Mar 18, 2024 6:17:51"
"*",4,2,38,"","","","","Mar 18, 2024 6:17:51"
"*025dn*",4,3,39,"OF","Christian Yelich","MIL","jackdoriss11","Mar 18, 2024 6:18:09"
"*01usi*",4,4,40,"UT","Marcell Ozuna","ATL","Verlander and Morton's Retirement Home","Mar 18, 2024 6:18:24"
"*03qjy*",4,5,41,"2B","Brandon Lowe","TB","Freddie","Mar 18, 2024 6:18:35"
"*045qo*",4,6,42,"OF","Jazz Chisholm Jr.","MIA","OnlyDans","Mar 18, 2024 6:18:37"
"*04p10*",4,7,43,"MI","Bryson Stott","PHI","sheridan","Mar 18, 2024 6:19:26"
"*03qr0*",4,8,44,"OF","Cedric Mullins","BAL","Kposer","Mar 18, 2024 6:19:36"
"*01uc9*",4,9,45,"OF","Nick Castellanos","PHI","We <3 PEDs","Mar 18, 2024 6:20:10"
"*025he*",4,10,46,"OF","George Springer","TOR","FIRE OLI","Mar 18, 2024 6:21:12"
"*041ah*",4,11,47,"OF","Josh Lowe","TB","Scotts Tots","Mar 18, 2024 6:22:11"
"*",4,12,48,"","","","","Mar 18, 2024 6:22:11"
"*",5,1,49,"","","","","Mar 18, 2024 6:22:12"
"*04k0w*",5,2,50,"RP","Camilo Doval","SF","pcorcoran3","Mar 18, 2024 6:23:13"
"*03qqf*",5,3,51,"RP","Alexis Diaz","CIN","jackdoriss11","Mar 18, 2024 6:23:38"
"*",5,4,52,"","","","","Mar 18, 2024 6:23:38"
"*",5,5,53,"","","","","Mar 18, 2024 6:23:39"
"*04ug5*",5,6,54,"RP","Emmanuel Clase","CLE","OnlyDans","Mar 18, 2024 6:23:42"
"*02i11*",5,7,55,"UT","Jorge Soler","SF","sheridan","Mar 18, 2024 6:24:07"
"*",5,8,56,"","","","","Mar 18, 2024 6:24:08"
"*03pzn*",5,9,57,"2B","Andres Gimenez","CLE","We <3 PEDs","Mar 18, 2024 6:24:25"
"*03pon*",5,10,58,"SP","Triston McKenzie","CLE","FIRE OLI","Mar 18, 2024 6:24:40"
"*04y9p*",5,11,59,"SS","Anthony Volpe","NYY","gochargers","Mar 18, 2024 6:25:08"
"*",5,12,60,"","","","","Mar 18, 2024 6:25:08"
"*02mwk*",6,1,61,"SP","Jose Berrios","TOR","gochargers","Mar 18, 2024 6:26:03"
"*04esz*",6,2,62,"OF","Chas McCormick","HOU","pcorcoran3","Mar 18, 2024 6:26:08"
"*05144*",6,3,63,"SP","Hunter Brown","HOU","jackdoriss11","Mar 18, 2024 6:26:12"
"*03atq*",6,4,64,"SS","Willy Adames","MIL","Verlander and Morton's Retirement Home","Mar 18, 2024 6:26:43"
"*",6,5,65,"","","","","Mar 18, 2024 6:26:43"
"*04apj*",6,6,66,"RP","Jhoan Duran","MIN","OnlyDans","Mar 18, 2024 6:26:46"
"*01uca*",6,7,67,"SP","Chris Sale","ATL","sheridan","Mar 18, 2024 6:27:02"
"*",6,8,68,"","","","","Mar 18, 2024 6:27:02"
"*0524l*",6,9,69,"C","Yainer Diaz","HOU","We <3 PEDs","Mar 18, 2024 6:27:53"
"*045kb*",6,10,70,"SP","Cristian Javier","HOU","FIRE OLI","Mar 18, 2024 6:28:09"
"*",6,11,71,"","","","","Mar 18, 2024 6:28:10"
"*05184*",6,12,72,"1B","Vinnie Pasquantino","KC","The Schwarbombers","Mar 18, 2024 6:28:57"
"*03de9*",7,1,73,"1B","Rhys Hoskins","MIL","gochargers","Mar 18, 2024 6:29:07"
"*05rc3*",7,2,74,"OF","Masataka Yoshida","BOS","pcorcoran3","Mar 18, 2024 6:30:05"
"*05vy6*",7,3,75,"SP","Bryce Miller","SEA","jackdoriss11","Mar 18, 2024 6:30:14"
"*03di6*",7,4,76,"RP","Jordan Romano","TOR","Verlander and Morton's Retirement Home","Mar 18, 2024 6:30:21"
"*",7,5,77,"","","","","Mar 18, 2024 6:30:21"
"*03nmw*",7,6,78,"OF","Ian Happ","CHC","OnlyDans","Mar 18, 2024 6:30:24"
"*01ut7*",7,7,79,"SP","Nathan Eovaldi","TEX","sheridan","Mar 18, 2024 6:30:45"
"*",7,8,80,"","","","","Mar 18, 2024 6:30:45"
"*03aay*",7,9,81,"2B","Thairo Estrada","SF","We <3 PEDs","Mar 18, 2024 6:31:20"
"*041wv*",7,10,82,"RP","Michael King","SD","FIRE OLI","Mar 18, 2024 6:32:08"
"*04pq4*",7,11,83,"SP","Kyle Bradish","BAL","Scotts Tots","Mar 18, 2024 6:33:10"
"*05xch*",7,12,84,"3B","Junior Caminero","TB","Scotts Tots","Mar 18, 2024 6:34:12"
"*05ua7*",8,1,85,"SS","Jackson Merrill","SD","Scotts Tots","Mar 18, 2024 6:34:19"
"*",8,2,86,"","","","","Mar 18, 2024 6:34:19"
"*05ge9*",8,3,87,"SP","Shota Imanaga","CHC","jackdoriss11","Mar 18, 2024 6:34:25"
"*0406v*",8,4,88,"OF","Esteury Ruiz","OAK","Verlander and Morton's Retirement Home","Mar 18, 2024 6:34:45"
"*",8,5,89,"","","","","Mar 18, 2024 6:34:46"
"*045gu*",8,6,90,"OF","TJ Friedl","CIN","OnlyDans","Mar 18, 2024 6:34:48"
"*04071*",8,7,91,"3B","Isaac Paredes","TB","sheridan","Mar 18, 2024 6:34:58"
"*03aqv*",8,8,92,"RP","Raisel Iglesias","ATL","Kposer","Mar 18, 2024 6:35:04"
"*02n2x*",8,9,93,"RP","Paul Sewald","ARI","We <3 PEDs","Mar 18, 2024 6:35:37"
"*041z2*",8,10,94,"OF","Jack Suwinski","PIT","FIRE OLI","Mar 18, 2024 6:35:48"
"*05wru*",8,11,95,"SP","Paul Skenes","PIT","Scotts Tots","Mar 18, 2024 6:36:41"
"*0425t*",8,12,96,"SP","Bailey Ober","MIN","The Schwarbombers","Mar 18, 2024 6:37:37"
"*04psu*",9,1,97,"OF","James Outman","LAD","gochargers","Mar 18, 2024 6:38:13"
"*",9,2,98,"","","","","Mar 18, 2024 6:38:13"
"*03aoy*",9,3,99,"C","Sean Murphy","ATL","jackdoriss11","Mar 18, 2024 6:38:35"
"*03oh0*",9,4,100,"C","Willson Contreras","STL","Verlander and Morton's Retirement Home","Mar 18, 2024 6:38:40"
"*04nx3*",9,5,101,"2B","Jonathan India","CIN","Freddie","Mar 18, 2024 6:38:47"
"*04azv*",9,6,102,"3B","Jake Burger","MIA","OnlyDans","Mar 18, 2024 6:38:49"
"*0310z*",9,7,103,"SS","J.P. Crawford","SEA","sheridan","Mar 18, 2024 6:39:07"
"*02bqh*",9,8,104,"MI","Trevor Story","BOS","Kposer","Mar 18, 2024 6:39:18"
"*01u75*",9,9,105,"C","Salvador Perez","KC","We <3 PEDs","Mar 18, 2024 6:39:39"
"*0310n*",9,10,106,"3B","Ryan McMahon","COL","FIRE OLI","Mar 18, 2024 6:40:19"
"*041ai*",9,11,107,"2B","Gavin Lux","LAD","Scotts Tots","Mar 18, 2024 6:40:45"
"*05lg3*",9,12,108,"P","Brandon Pfaadt","ARI","The Schwarbombers","Mar 18, 2024 6:40:54"
"*0512m*",10,1,109,"P","Ryan Pepiot","TB","gochargers","Mar 18, 2024 6:41:42"
"*05js3*",10,2,110,"SP","Kyle Harrison","SF","pcorcoran3","Mar 18, 2024 6:41:53"
"*05ub0*",10,3,111,"MI","Zack Gelof","OAK","jackdoriss11","Mar 18, 2024 6:42:05"
"*041yb*",10,4,112,"SP","Dean Kremer","BAL","Verlander and Morton's Retirement Home","Mar 18, 2024 6:42:20"
"*03aqz*",10,5,113,"RP","Adbert Alzolay","CHC","Freddie","Mar 18, 2024 6:42:26"
"*051dl*",10,6,114,"2B","Edouard Julien","MIN","OnlyDans","Mar 18, 2024 6:42:28"
"*02bx4*",10,7,115,"RP","Clay Holmes","NYY","sheridan","Mar 18, 2024 6:42:58"
