"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","AB","H","R","HR","RBI","SB","OPS","GP"
"*05ahg*","C","Austin Wells","NYY","C","Act","26","96","331.87","409","92","53","20","74","3",".735","114"
"*041xv*","1B","Nathaniel Lowe","(N/A)","1B","Act","30","86","422.67","471","110","56","13","65","1",".693","131"
"*025gb*","2B","Xander Bogaerts","SD","SS","Act","33","100","230.68","540","144","71","14","58","20",".733","142"
"*01svq*","3B","Manny Machado","SD","3B","Act","33","100","27.87","604","165","88","29","102","13",".800","154"
"*02btf*","SS","Mookie Betts","LAD","SS","Act","33","100","49.87","562","154","97","22","89","9",".806","142"
"*01u75*","CI","Salvador Perez","KC","C,1B","Act","35","100","135.31","553","143","54","29","94","0",".777","144"
"*02i2q*","MI","Carlos Correa","HOU","3B,SS","Act","31","100","275.93","515","142","65","16","61","0",".767","135"
"*03120*","OF","Cody Bellinger","NYY","OF","Act","30","100","73.25","520","138","75","22","79","11",".779","134"
"*01uc9*","OF","Nick Castellanos","PHI","OF","Act","33","100","285.45","574","145","72","21","79","4",".728","150"
"*02bq2*","OF","Brandon Nimmo","TEX","OF","Act","32","100","105.9","578","145","89","25","91","14",".769","154"
"*03zbh*","OF","Fernando Tatis Jr.","SD","OF","Act","27","100","15.36","591","160","106","27","76","28",".823","150"
"*01s8u*","OF","Mike Trout","LAA","OF,UT","Act","34","100","144.29","446","105","71","27","63","2",".815","123"
"*04y95*","UT","JJ Bleday","CIN","OF","Act","28","37","476.91","200","44","27","9","23","1",".712","51"
"*03aoy*","C","Sean Murphy","ATL","C","Res","31","82","406.88","274","59","33","14","40","0",".726","76"
"*04nx3*","UT","Jonathan India","KC","2B,3B,OF","Res","29","99","331.39","478","117","71","12","51","6",".727","131"
"*04y44*","CI","Josh Jung","TEX","3B","IR","27","96","348.94","502","128","60","18","65","5",".709","131"
"*05u9y*","OF","Max Clark","DET","OF","Min","21","24","487.15","55","13","10","2","6","2",".780","17"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","IP","QS","K","ERA","WHIP","SVH","GP"
"*02hjp*","SP","Jacob deGrom","TEX","SP","Act","37","100","51.62","155","18","168","3.48","1.045","0","28"
"*01sb3*","SP","Zack Wheeler","PHI","SP","Act","35","100","174.54","127","13","153","3.26","1.024","0","20"
"*04aqc*","RP","David Bednar","NYY","RP","Act","31","100","153.52","61","0","80","3.39","1.098","40","66"
"*01svz*","RP","Kenley Jansen","DET","RP","Act","38","100","262.36","58","0","58","3.72","1.172","29","60"
"*02mwk*","P","Jose Berrios","TOR","SP","Act","31","99","332.05","173","16","144","4.06","1.277","0","30"
"*01c5l*","P","Yu Darvish","SD","SP","Act","39","1","461.49","0","0","0","0","0","0","0"
"*041r1*","P","Jesus Luzardo","PHI","SP","Act","28","100","65.89","180","19","212","3.70","1.178","0","32"
"*02bqr*","P","Blake Snell","LAD","SP","Act","33","100","64.51","139","18","189","3.11","1.151","0","26"
"*02my5*","P","Edwin Diaz","LAD","RP","Act","31","100","101.65","68","0","95","2.91","0.956","38","62"

