"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Contract","AB","H","R","HR","RBI","SB","OPS","GP"
"*04my4*","C","Cal Raleigh","SEA","C","Act","28","1st","546","120","73","34","100","6",".748","153"
"*01ual*","1B","Paul Goldschmidt","STL","1B","Act","37","1st","599","147","70","22","65","11",".716","154"
"*0326s*","2B","Ketel Marte","ARI","2B","Act","31","1st","504","147","93","36","95","7",".932","136"
"*03pji*","3B","Ke'Bryan Hayes","PIT","3B","Act","28","2024","365","85","38","4","25","11",".573","96"
"*02yh5*","SS","Amed Rosario","TB/LAD/CIN","2B,3B,SS,OF","Act","29","1st","332","93","29","3","32","13",".686","103"
"*05ajg*","CI","Ha-seong Kim","SD","2B,3B,SS","Act","29","2024","403","94","60","11","47","22",".700","121"
"*04eig*","MI","Jose Caballero","TB","2B,3B,SS","Act","28","1st","441","100","53","9","44","44",".630","139"
"*03dgq*","OF","Ryan O'Hearn","BAL","1B,OF","Act","31","1st","443","117","60","15","59","3",".761","142"
"*04pst*","OF","Jarren Duran","BOS","OF","Act","28","1st","671","191","111","21","75","34",".834","160"
"*03qr0*","OF","Cedric Mullins","BAL","OF","Act","30","1st","444","104","69","18","54","32",".710","147"
"*03pje*","OF","Taylor Ward","LAA","OF","Act","31","1st","585","144","73","25","75","6",".748","156"
"*03ner*","OF","Juan Yepez","WSH","1B,OF","Act","26","1st","226","64","32","6","26","2",".764","62"
"*026lz*","UT","Josh Bell","MIA/ARI","1B","Act","32","1st","538","134","62","19","71","0",".725","145"
"*04s1g*","C","Gabriel Moreno","ARI","C","Res","24","1st","305","81","39","5","45","3",".734","97"
"*04nb2*","OF","Riley Greene","DET","OF","IR","24","2024","512","134","82","24","74","4",".827","137"
"*05r1m*","UT","Jordan Lawlar","ARI","SS","Min","22","1st","0","0","0","0","0","0",".000","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Contract","IP","QS","K","ERA","WHIP","SVH","GP"
"*04cd5*","SP","MacKenzie Gore","WSH","SP","Act","25","1st","166.1","11","181","3.90","1.419","0","32"
"*02i3o*","SP","Aaron Nola","PHI","SP","Act","31","2024","199.1","20","197","3.57","1.199","0","33"
"*02my5*","RP","Edwin Diaz","NYM","RP","Act","30","2024","53.2","0","84","3.52","1.043","22","55"
"*03aqv*","RP","Raisel Iglesias","ATL","RP","Act","35","1st","69.1","0","68","1.95","0.736","34","66"
"*05jq2*","P","Andrew Abbott","CIN","SP","Act","25","1st","138","9","114","3.72","1.297","0","25"
"*01spo*","P","Gerrit Cole","NYY","SP","Act","34","2024","95","8","99","3.41","1.126","0","17"
"*041qo*","P","Zac Gallen","ARI","SP","Act","29","2026","148","12","156","3.65","1.264","0","28"
"*04ml0*","P","Yusei Kikuchi","TOR/HOU","SP","Act","33","1st","175.2","12","206","4.05","1.201","0","32"
"*0311c*","P","Devin Williams","MIL","RP","Act","30","2026","21.2","0","38","1.25","0.969","14","22"
"*03bin*","SP","Nestor Cortes Jr.","NYY","SP","Res","30","1st","174.1","13","162","3.77","1.153","0","31"
"*02bxv*","SP","Jon Gray","TEX","SP","Res","33","1st","102.2","7","86","4.47","1.315","0","24"
"*0317q*","RP","Griffin Jax","MIN","RP","Res","30","1st","71","0","95","2.03","0.873","34","72"
"*04a2t*","P","Kodai Senga","NYM","SP","IR","32","2026","5.1","0","9","3.38","0.563","0","1"

