"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Contract","AB","H","R","HR","RBI","SB","OPS","GP"
"*03yrz*","C","William Contreras","MIL","C","Act","27","2024","595","167","99","23","92","9",".831","155"
"*03ojr*","1B","Vladimir Guerrero Jr.","TOR","1B,3B","Act","25","2024","616","199","98","30","103","2",".940","159"
"*024m0*","2B","Jose Altuve","HOU","2B","Act","34","2024","628","185","94","20","65","22",".790","153"
"*03pom*","3B","Austin Riley","ATL","3B","Act","27","1st","425","109","63","19","56","0",".783","110"
"*03zlh*","SS","Oneil Cruz","PIT","SS,OF","Act","26","2026","541","140","72","21","76","22",".773","146"
"*04qnd*","CI","Noelvi Marte","CIN","3B","Act","23","1st","229","48","24","4","18","9",".549","66"
"*03fi0*","MI","Ozzie Albies","ATL","2B","Act","28","2024","399","100","52","10","53","8",".707","99"
"*05131*","OF","Tyler Fitzgerald","SF","SS,OF","Act","27","1st","314","88","53","15","34","17",".831","96"
"*04aee*","OF","Jo Adell","LAA","OF","Act","25","1st","405","84","54","20","62","15",".682","130"
"*04355*","OF","Yordan Alvarez","HOU","OF","Act","27","2026","552","170","88","35","86","6",".959","147"
"*041q8*","OF","Brandon Marsh","PHI","OF","Act","27","1st","418","104","55","16","60","19",".747","135"
"*05rc3*","OF","Masataka Yoshida","BOS","OF","Act","31","1st","378","106","45","10","56","2",".765","108"
"*03pjd*","UT","Josh Naylor","CLE","1B","Act","27","2026","563","137","84","31","108","6",".776","152"
"*031cd*","UT","Mitch Garver","SEA","C","Res","34","1st","367","63","37","15","51","0",".627","114"
"*04pkr*","UT","Nico Hoerner","CHC","2B,SS","Res","27","1st","582","159","86","7","48","31",".708","151"
"*05gsi*","OF","Ceddanne Rafaela","BOS","2B,SS,OF","Res","24","1st","544","134","70","15","75","19",".664","152"
"*051em*","OF","Kerry Carpenter","DET","OF","Res","27","1st","264","75","37","18","57","0",".932","87"
"*05m49*","OF","Jung Hoo Lee","SF","OF","IR","26","1st","145","38","15","2","8","2",".641","37"
"*054p6*","OF","Emmanuel Rodriguez","MIN","OF","Min","21","1st","0","0","0","0","0","0",".000","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Contract","IP","QS","K","ERA","WHIP","SVH","GP"
"*05js3*","SP","Kyle Harrison","SF","SP","Act","23","1st","124.1","9","118","4.56","1.343","0","24"
"*03dbm*","SP","Logan Webb","SF","SP","Act","28","1st","204.2","20","172","3.47","1.231","0","33"
"*0316j*","RP","Nick Pivetta","BOS","SP,RP","Act","31","1st","145.2","11","172","4.14","1.126","0","27"
"*02hi7*","P","Kevin Gausman","TOR","SP","Act","34","2026","181","16","162","3.83","1.221","0","31"
"*04ppz*","P","Jake Irvin","WSH","SP","Act","27","1st","187.2","16","156","4.41","1.199","0","33"
"*02c2r*","P","Carlos Rodon","NYY","SP","Act","32","2024","175","16","195","3.96","1.223","0","32"
"*004ee*","P","Max Scherzer","TEX","SP","Act","40","1st","43.1","3","40","3.95","1.154","0","9"
"*02hg4*","P","Marcus Stroman","NYY","SP","Act","33","1st","154.2","9","113","4.31","1.468","1","30"
"*04cwf*","P","Shane Baz","TB","SP","Res","25","1st","79.1","8","69","3.06","1.059","0","14"
"*04k0w*","RP","Camilo Doval","SF","RP","Res","27","1st","59","0","78","4.88","1.576","28","62"

