"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Contract","AB","H","R","HR","RBI","SB","OPS","GP"
"*04yuu*","C","Patrick Bailey","SF","C","Act","25","1st","401","94","46","8","46","4",".637","121"
"*04si2*","1B","Andrew Vaughn","CHW","1B","Act","26","1st","570","140","55","19","70","2",".699","149"
"*03mew*","2B","Luis Arraez","MIA/SD","1B,2B","Act","27","2024","637","200","83","4","46","9",".739","150"
"*04azv*","3B","Jake Burger","MIA","1B,3B","Act","28","1st","535","134","68","29","76","1",".760","137"
"*03ae8*","SS","Dansby Swanson","CHC","SS","Act","30","2024","534","129","82","16","66","19",".701","149"
"*02jh6*","CI","Eugenio Suarez","ARI","3B","Act","33","1st","571","146","90","30","101","2",".788","158"
"*04mra*","MI","Ezequiel Tovar","COL","SS","Act","23","1st","655","176","83","26","78","6",".763","157"
"*03120*","OF","Cody Bellinger","CHC","1B,OF","Act","29","2024","516","137","72","18","78","9",".751","130"
"*045qo*","OF","Jazz Chisholm Jr.","MIA/NYY","3B,OF","Act","27","1st","562","144","74","24","73","40",".760","147"
"*045gu*","OF","TJ Friedl","CIN","OF","Act","29","1st","297","67","35","13","55","9",".690","85"
"*03nmw*","OF","Ian Happ","CHC","OF","Act","30","1st","569","138","89","25","86","13",".782","154"
"*04pr1*","OF","Steven Kwan","CLE","OF","Act","27","1st","480","140","83","14","44","12",".793","122"
"*02334*","UT","J.D. Martinez","NYM","UT","Act","37","1st","434","102","46","16","69","0",".725","120"
"*04efi*","C","Connor Wong","BOS","C,1B","Res","28","1st","447","125","54","13","52","8",".758","126"
"*051dl*","UT","Edouard Julien","MIN","2B","Res","25","1st","266","53","36","8","21","6",".616","94"
"*0512v*","UT","Michael Harris II","ATL","OF","IR","23","2024","440","116","58","16","48","10",".722","110"
"*05uei*","OF","Chase DeLauter","CLE","OF","Min","23","1st","0","0","0","0","0","0",".000","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Contract","IP","QS","K","ERA","WHIP","SVH","GP"
"*05y23*","SP","Tanner Bibee","CLE","SP","Act","25","2026","173.2","12","187","3.47","1.117","0","31"
"*041rd*","SP","Corbin Burnes","BAL","SP","Act","30","1st","194.1","22","181","2.92","1.096","0","32"
"*04ug5*","RP","Emmanuel Clase","CLE","RP","Act","26","1st","74.1","0","66","0.61","0.659","47","74"
"*03dpg*","RP","Kevin Ginkel","ARI","RP","Act","30","1st","70","0","77","3.21","1.200","23","72"
"*04aea*","P","Hunter Greene","CIN","SP","Act","25","2024","150.1","13","169","2.75","1.018","0","26"
"*03sef*","P","Seth Lugo","KC","SP","Act","35","1st","206.2","22","181","3.00","1.089","0","33"
"*04ps7*","P","Joe Ryan","MIN","SP","Act","28","1st","135","13","147","3.60","0.985","0","23"
"*04ptt*","P","Tarik Skubal","DET","SP","Act","28","1st","192","22","228","2.39","0.922","0","31"
"*04apj*","P","Jhoan Duran","MIN","RP","Act","27","1st","54.1","0","66","3.64","1.160","30","58"
"*02hjp*","P","Jacob deGrom","TEX","SP","Res","36","2024","10.2","0","14","1.69","1.125","0","3"
"*05jp7*","SP","Gavin Williams","CLE","SP","Res","25","2026","76","3","79","4.86","1.368","0","16"
"*041rf*","P","Shane Bieber","CLE","SP","IR","29","2026","12","2","20","0.00","0.917","0","2"
"*05mre*","P","Spencer Strider","ATL","SP","IR","26","2024","9","0","12","7.00","1.667","0","2"

