*0524l*,C,Yainer Diaz,HOU,C,Act,25,1st,0,0,0,0,0,0,.000,0
*01u75*,1B,Salvador Perez,KC,C,1B,Act,33,1st,0,0,0,0,0,0,.000,0
*03pzn*,2B,Andres Gimenez,CLE,2B,Act,25,1st,0,0,0,0,0,0,.000,0
*027fx*,3B,Jeimer Candelario,CIN,1B,3B,Act,30,1st,0,0,0,0,0,0,.000,0
*02611*,SS,Francisco Lindor,NYM,SS,Act,30,2024,0,0,0,0,0,0,.000,0
*04y44*,CI,Josh Jung,TEX,3B,Act,26,2026,0,0,0,0,0,0,.000,0
*03aay*,MI,Thairo Estrada,SF,2B,SS,Act,28,1st,0,0,0,0,0,0,.000,0
*01uc9*,OF,Nick Castellanos,PHI,OF,Act,32,1st,0,0,0,0,0,0,.000,0
*041q6*,OF,Nolan Jones,COL,OF,Act,25,1st,0,0,0,0,0,0,.000,0
*02z0s*,OF,Aaron Judge,NYY,OF,Act,31,2024,0,0,0,0,0,0,.000,0
*02w16*,OF,Anthony Santander,BAL,OF,Act,29,2024,0,0,0,0,0,0,.000,0
*03zbh*,OF,Fernando Tatis Jr.,SD,OF,Act,25,2026,8,2,2,0,1,0,.650,2
*02yc4*,UT,Shohei Ohtani,LAD,UT,SP,Act,29,2024,10,3,1,0,2,1,.573,2
*05ahg*,UT,Austin Wells,NYY,C,Res,24,1st,0,0,0,0,0,0,.000,0
*041xv*,CI,Nathaniel Lowe,TEX,1B,Res,28,1st,0,0,0,0,0,0,.000,0
*01ubo*,UT,Kris Bryant,COL,OF,Res,32,1st,0,0,0,0,0,0,.000,0
*05u9y*,OF,Max Clark,DET,OF,Min,19,1st,0,0,0,0,0,0,.000,0
*02c2h*,SP,Chris Bassitt,TOR,SP,Act,35,1st,0,0,0,0,0,0,0,0,0,0
*01sb3*,SP,Zack Wheeler,PHI,SP,Act,33,1st,0,0,0,0,0,0,0,0,0,0
*04aqc*,RP,David Bednar,PIT,RP,Act,29,2026,0,0,0,0,0,0,0,0,0,0
*02n2x*,RP,Paul Sewald,ARI,RP,Act,33,1st,0,0,0,0,0,0,0,0,0,0
*03d7h*,P,Mitch Keller,PIT,SP,Act,27,2024,0,0,0,0,0,0,0,0,0,0
*04px8*,P,Reese Olson,DET,SP,Act,24,1st,0,0,0,0,0,0,0,0,0,0
*02bqr*,P,Blake Snell,SF,SP,Act,31,2026,0,0,0,0,0,0,0,0,0,0
*01srb*,P,Jameson Taillon,CHC,SP,Act,32,1st,0,0,0,0,0,0,0,0,0,0
*01svz*,P,Kenley Jansen,BOS,RP,Act,36,1st,0,0,0,0,0,0,0,0,0,0
*041e3*,P,Braxton Garrett,MIA,SP,Res,26,1st,0,0,0,0,0,0,0,0,0,0
