2026,Fightin (Michael) Busch Lights,,,OnlyDans,,,Short Porch Soldiers,,,gochargers,,,We <3 PEDs,,,Mount My Castle,,,Kpose,,,pcorcoran3,,,Scotts Tots,,,The Old Timers,,,Sasaki Bombs,,,Vladdy's Daycare,,
,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick
,Lane Thomas,1,20,Tanner Bibee,1,20,Sonny Gray,1,8,Taj Bradley,1,20,Fernando Tatis Jr,1,-2,Matt Olson,1,-2,Zac Gallen,1,-1,Yordan Alvarez ,1,-2,Elly De La Cruz,1,20,Alex Bregman,1,0,Yoshinobu Yamamoto,2,-1,Cristopher Sanchez,3,5
,Pete Alonso,1,-2,Shane Bieber,1,-2,Bryan Abreu ,1,20,Eury Perez,1,20,David Bednar,1,10,Jeremy Pena,1,-1,Devin Williams,1,1,O'Neil Cruz,1,20,Luis Robert,1,-2,CJ Abrams,1,11,Wyatt Langford,2,-1,Konor Griffin,3,25
,Masyn Winn,1,20,Tarik Skubal,2,0,Bo Bichette,1,-2,Kyle Tucker,2,-1,Blake Snell,1,1,Shohei Ohtani,1,0,Kodia Senga,1,5,Kevin Gausman ,1,-1,George Kirby,1,1,Nolan Gorman,1,14,Bryce Miller,2,5,Hunter Brown,2,21
,Justin Steele,1,20,Steven Kwan,2,12,Alex Verdugo,1,7,Ryan Pepiot,2,8,Josh Jung,1,20,Adley Rutschman,1,1,Ketel Marte,2,0,Josh Naylor,1,20,Junior Caminero,2,5,Bryan Woo,3,3,Garrett Crochet,3,1,Sandy Alcantara,2,21
,Willy Adames,2,4,Taylor Ward,1,9,JT Realmuto,2,1,Royce Lewis,1,20,Zack Wheeler,2,-1,Pablo Lopez,1,-1,Jarren Duran,2,8,Austin Riley,2,-1,Jackson Merrill,2,6,Mason Miller,2,8,Bobby Witt Jr.,3,0,Jackson Chourio,2,-1
,Maikel Garcia,2,10,Joe Ryan,2,1,Chris Sale,2,4,Shea Langeliers,1,8,Manny Machado,1,1,Jeffrey Springs,1,4,Trea Turner,3,1,Aaron Judge,3,1,Paul Skenes,2,6,Corey Seager,1,1,Will Smith,1,4,Vladimir Guerrero Jr.,3,0
,Pete Crow-Armstrong,3,8,Freddie Freeman,1,1,Jasson Dominguez,2,10,Francisco Lindor,3,0,Mookie Betts,1,0,Spencer Steer,2,0,Juan Soto,3,0,Willson Contreras,1,6,Ronald Acuna Jr.,3,0,Alec Burleson,1,6,Geraldo Perdomo,1,25,Rafael Devers,3,1
,Andres Munoz,1,6,William Contreras,1,2,Dylan Cease,2,0,Abner Uribe,1,25,Jacob DeGrom,3,2,Heliot Ramos,2,21,Isaac Paredes,1,9,Logan Webb,2,0,Hunter Goodman,1,25,MacKenzie Gore,1,4,Chandler Simpson,1,25,Zach Neto,3,8
