"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","AB","R","H","HR","RBI","SB","OPS","GP"
"*05yo5*","C","Ben Rice","NYY","C,1B","Act","27","286","56","79","22","53","2",".940","77"
"*01fh9*","1B","Bryce Harper","PHI","1B","Act","33","291","55","81","19","50","5",".915","83"
"*0326s*","2B","Ketel Marte","ARI","2B","Act","32","314","43","82","14","48","1",".777","78"
"*04071*","3B","Isaac Paredes","HOU","1B,3B","Act","27","280","32","70","10","43","0",".761","78"
"*02c68*","SS","Trea Turner","PHI","SS","Act","32","331","52","77","7","24","15",".622","81"
"*02mw3*","CI","Christian Walker","HOU","1B","Act","35","313","44","75","18","53","0",".779","83"
"*04n8z*","MI","Xavier Edwards","MIA","2B,SS","Act","26","302","45","90","6","29","11",".809","83"
"*0596e*","OF","Dylan Crews","WSH","OF","Act","24","130","20","29","5","17","3",".640","35"
"*04pst*","OF","Jarren Duran","BOS","OF","Act","29","303","38","60","12","38","12",".614","75"
"*05t2b*","OF","Daylen Lile","WSH","OF","Act","23","322","44","81","8","39","7",".709","82"
"*03ynj*","OF","Juan Soto","NYM","OF","Act","27","231","38","69","17","39","6",".966","66"
"*04efa*","OF","Daulton Varsho","TOR","OF","Act","29","236","31","61","7","22","7",".759","70"
"*05u9q*","UT","Jac Caglianone","KC","1B,OF","Act","23","268","39","71","14","30","3",".818","78"
"*04t3y*","C","Alejandro Kirk","TOR","C","Res","27","56","5","11","2","7","0",".585","16"
"*04nq4*","1B","Blaze Jordan","STL","1B,3B","Res","23","45","5","12","1","12","0",".724","13"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","IP","ERA","WHIP","K","QS","SVH","GP"
"*041qo*","SP","Zac Gallen","ARI","SP","Act","30","86.1","6.15","1.575","52","3","0","17"
"*02c4q*","SP","Nick Martinez","TB","SP,RP","Act","35","94.2","2.66","1.151","58","9","0","16"
"*01gya*","RP","Aroldis Chapman","BOS","RP","Act","38","23.2","1.90","1.225","30","0","16","25"
"*0311c*","RP","Devin Williams","NYM","RP","Act","31","27.1","4.28","1.500","41","0","11","30"
"*03nuc*","P","Luis Castillo","SEA","SP","Act","33","76.2","4.93","1.357","73","2","1","16"
"*02hj7*","P","Merrill Kelly","ARI","SP","Act","37","75.2","5.71","1.520","44","6","0","13"
"*04mlf*","P","Casey Mize","DET","SP","Act","29","58","2.95","1.069","58","5","0","11"
"*04eee*","P","Drew Rasmussen","TB","SP","Act","30","86","2.62","0.884","89","9","0","15"
"*03dau*","P","Trevor Megill","MIL","RP","Act","32","30","3.60","1.000","38","0","17","31"
"*04a2t*","SP","Kodai Senga","NYM","SP","Res","33","27.2","10.08","1.916","34","1","0","7"
"*03ann*","RP","Jeff Hoffman","TOR","RP","Res","33","36.1","4.71","1.486","58","0","13","39"
"*02btx*","P","Tyler Glasnow","LAD","SP","IR","32","39.2","2.72","0.832","49","4","0","7"
"*04aea*","SP","Hunter Greene","CIN","SP","IR","26","0","0","0","0","0","0","0"

