"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","AB","R","H","HR","RBI","SB","OPS","GP"
"*05gx4*","C","Dillon Dingler","DET","C","Act","27","281","42","75","19","58","0",".871","76"
"*01ual*","1B","Paul Goldschmidt","NYY","1B","Act","38","203","31","59","14","40","1",".904","57"
"*06aw3*","2B","JJ Wetherholt","STL","2B,SS","Act","23","298","49","78","12","34","8",".768","76"
"*02w7p*","3B","Alex Bregman","CHC","3B","Act","32","318","38","77","6","27","2",".677","82"
"*04tjl*","SS","Otto Lopez","MIA","2B,SS","Act","27","324","52","109","6","36","16",".851","83"
"*05ahe*","CI","Curtis Mead","WSH","1B,3B","Act","25","212","36","47","14","39","3",".788","68"
"*04qk8*","MI","CJ Abrams","WSH","SS","Act","25","298","51","83","17","57","13",".876","82"
"*05jr0*","OF","Alec Burleson","STL","1B,OF","Act","27","308","42","87","13","57","2",".831","79"
"*04ppi*","OF","Kody Clemens","MIN","1B,2B,OF","Act","30","248","34","60","12","33","6",".777","70"
"*051em*","OF","Kerry Carpenter","DET","OF","Act","28","168","20","38","12","35","0",".788","60"
"*04y4e*","OF","Corbin Carroll","ARI","OF","Act","25","295","48","83","13","43","9",".904","79"
"*05rat*","OF","James Wood","WSH","OF","Act","23","323","70","83","20","49","13",".886","84"
"*02mw6*","UT","Corey Seager","TEX","SS","Act","32","184","28","34","10","25","1",".670","49"
"*04ai4*","3B","Nolan Gorman","STL","2B,3B","Res","26","201","19","39","7","26","0",".598","62"
"*05161*","OF","Dominic Canzone","SEA","OF","Res","28","189","29","52","12","33","1",".895","73"
"*05yaf*","OF","Jacob Young","WSH","OF","Res","26","246","32","56","8","30","8",".653","79"
"*05y3u*","CI","Munetaka Murakami","CHW","1B,3B","IR","26","200","43","48","20","41","1",".938","57"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","IP","ERA","WHIP","K","QS","SVH","GP"
"*05ge9*","SP","Shota Imanaga","CHC","SP","Act","32","92","4.40","1.054","88","6","0","16"
"*0596g*","SP","Reid Detmers","LAA","SP,RP","Act","26","99.2","3.88","1.064","112","7","0","17"
"*06mi0*","RP","Bryan King","HOU","RP","Act","29","35","2.31","1.229","27","0","15","33"
"*05ucd*","RP","Mason Miller","SD","RP","Act","27","34","0.79","0.794","66","0","21","32"
"*04pq4*","P","Kyle Bradish","BAL","SP","Act","29","89","3.64","1.449","94","7","0","16"
"*04cd5*","P","MacKenzie Gore","TEX","SP","Act","27","91","4.05","1.253","97","6","0","17"
"*05133*","P","Andre Pallante","STL","SP","Act","27","89.1","3.83","1.231","68","6","0","16"
"*05y62*","P","Bryan Woo","SEA","SP","Act","26","93","4.26","1.043","92","9","0","16"
"*02n2x*","P","Paul Sewald","ARI","RP","Act","36","29","4.03","0.862","33","0","18","32"
"*041r5*","SP","Dustin May","STL","SP","Res","28","83.2","4.30","1.195","77","9","0","15"
"*05sr2*","SP","Michael McGreevy","STL","SP","Res","25","89.1","3.12","1.142","57","10","0","16"
"*0425t*","P","Bailey Ober","MIN","SP","IR","30","66.2","4.59","1.215","46","4","0","12"
"*05138*","RP","Matt Brash","SEA","RP","IR","28","16.2","0.54","0.840","15","0","6","20"

