"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","AB","R","H","HR","RBI","SB","OPS","GP"
"*0630d*","C","Drake Baldwin","ATL","C","Act","25","227","42","59","14","39","1",".814","58"
"*05rfu*","1B","Kyle Manzardo","CLE","1B","Act","25","227","28","53","9","27","0",".718","73"
"*02bu9*","2B","Marcus Semien","NYM","2B","Act","35","290","30","62","9","29","6",".613","80"
"*02i2q*","3B","Carlos Correa","HOU","3B,SS","Act","31","122","22","34","3","16","1",".787","33"
"*02btf*","SS","Mookie Betts","LAD","SS","Act","33","191","30","44","11","25","1",".732","48"
"*04y44*","CI","Josh Jung","TEX","3B","Act","28","299","38","87","8","31","1",".785","77"
"*0622t*","MI","Jacob Wilson","ATH","SS","Act","24","202","23","56","4","26","2",".696","50"
"*03120*","OF","Cody Bellinger","NYY","OF","Act","30","294","46","78","11","49","10",".817","81"
"*03nmw*","OF","Ian Happ","CHC","OF","Act","31","295","55","67","17","41","4",".801","79"
"*04y97*","OF","Kyle Stowers","MIA","1B,OF","Act","28","217","25","50","8","32","1",".744","59"
"*03zbh*","OF","Fernando Tatis Jr.","SD","2B,OF","Act","27","310","35","88","3","30","19",".714","80"
"*04e2u*","OF","Brent Rooker","ATH","OF,UT","Act","31","180","20","36","10","29","2",".670","48"
"*01svq*","UT","Manny Machado","SD","3B","Act","33","289","38","53","14","43","1",".647","79"
"*045gu*","OF","TJ Friedl","CIN","OF","Res","30","156","15","28","2","8","5",".515","47"
"*041e2*","OF","Mickey Moniak","COL","OF","Res","28","163","22","44","12","30","1",".893","48"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","IP","ERA","WHIP","K","QS","SVH","GP"
"*02bqr*","SP","Blake Snell","LAD","SP","Act","33","3","12.00","2.667","5","0","0","1"
"*01sb3*","SP","Zack Wheeler","PHI","SP","Act","36","75.1","2.03","0.863","74","9","0","12"
"*04aqc*","RP","David Bednar","NYY","RP","Act","31","33","3.27","1.273","39","0","16","32"
"*03qo0*","RP","Pete Fairbanks","MIA","RP","Act","32","24","6.75","1.333","32","0","14","26"
"*02hjp*","P","Jacob deGrom","TEX","SP","Act","38","88.2","3.55","1.026","106","7","0","16"
"*05gww*","P","Cade Horton","CHC","SP","Act","24","7.1","2.45","0.818","4","1","0","2"
"*025j1*","P","Robbie Ray","SF","SP","Act","34","87.2","3.70","1.278","80","5","0","16"
"*05mre*","P","Spencer Strider","ATL","SP","Act","27","39","5.31","1.359","46","2","0","8"
"*05jp7*","P","Gavin Williams","CLE","SP","Act","26","96.2","3.82","1.138","111","6","0","16"
"*03d7h*","SP","Mitch Keller","PIT","SP","Res","30","88.1","4.89","1.325","69","8","0","16"
"*02bqy*","SP","Joe Musgrove","SD","SP","Res","33","0","0","0","0","0","0","0"
"*03pj4*","SP","Cody Ponce","TOR","SP","Res","32","2.1","3.86","0.857","3","0","0","1"

