"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","AB","R","H","HR","RBI","SB","OPS","GP"
"*04o4s*","C","Shea Langeliers","ATH","C","Act","28","311","49","83","19","43","2",".834","75"
"*05t9v*","1B","Jonathan Aranda","TB","1B","Act","28","287","42","83","13","57","0",".862","79"
"*05jp4*","2B","Casey Schmitt","SF","1B,2B,3B,OF","Act","27","297","37","86","16","42","7",".825","75"
"*04aeb*","3B","Royce Lewis","MIN","1B,3B","Act","27","179","20","38","7","22","5",".657","50"
"*060ub*","SS","Colt Emerson","SEA","3B,SS","Act","20","107","15","22","7","17","1",".759","35"
"*02jh6*","CI","Eugenio Suarez","CIN","3B","Act","34","195","18","41","8","29","0",".655","55"
"*03btu*","MI","Willi Castro","COL","1B,2B,3B,SS,OF","Act","29","251","36","69","6","33","6",".745","72"
"*040b5*","OF","Randy Arozarena","SEA","OF","Act","31","278","48","80","8","36","19",".825","77"
"*04y95*","OF","JJ Bleday","CIN","OF","Act","28","192","29","46","13","35","3",".858","53"
"*05rcg*","OF","Braden Montgomery","CHW","OF","Act","23","57","10","14","2","8","0",".740","16"
"*03pir*","OF","Kyle Tucker","LAD","OF","Act","29","281","45","67","7","44","6",".719","77"
"*05gbf*","OF","Jordan Walker","STL","OF","Act","24","310","47","90","18","58","10",".859","79"
"*02611*","UT","Francisco Lindor","NYM","SS","Act","32","105","15","23","2","7","2",".657","27"
"*05ynb*","1B","Liam Hicks","MIA","C,1B","Res","27","248","40","69","13","53","1",".831","75"
"*04yk2*","1B","Spencer Torkelson","DET","1B","Res","26","275","31","57","12","32","0",".712","82"
"*02xic*","OF","Teoscar Hernandez","LAD","OF","IR","33","181","30","50","7","31","2",".785","51"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","IP","ERA","WHIP","K","QS","SVH","GP"
"*04pr8*","SP","Taj Bradley","MIN","SP","Act","25","83.2","3.98","1.279","91","6","0","15"
"*04auj*","SP","Framber Valdez","DET","SP","Act","32","95.2","4.05","1.328","77","9","0","17"
"*04pxo*","RP","Erik Sabrowski","CLE","RP","Act","28","22.1","2.82","1.075","42","0","19","28"
"*05nso*","RP","Abner Uribe","MIL","RP","Act","26","30.1","3.26","1.121","31","0","16","32"
"*01spo*","P","Gerrit Cole","NYY","SP","Act","35","37.2","4.06","1.221","34","3","0","7"
"*0510l*","P","Emerson Hancock","SEA","SP","Act","27","85","3.60","1.024","81","8","0","15"
"*041r1*","P","Jesus Luzardo","PHI","SP","Act","28","92.1","4.00","1.300","110","8","0","16"
"*06gwk*","P","Payton Tolle","BOS","SP,RP","Act","23","71.1","2.78","1.023","69","7","0","12"
"*05y0j*","SP","Spencer Arrighetti","HOU","SP","Res","26","72","4.00","1.292","75","5","0","13"
"*05aoc*","SP","Eury Perez","MIA","SP","Res","23","67.1","4.41","1.218","73","4","0","13"
"*03pjf*","SP","Michael Soroka","ARI","SP","Res","28","82","3.07","1.085","79","7","0","15"
"*0512m*","SP","Ryan Pepiot","TB","SP","IR","28","0","0","0","0","0","0","0"
"*05r01*","RP","Robert Suarez","ATL","RP","IR","35","32","0.56","0.844","26","0","16","31"
"*05ydp*","SP","Kade Anderson","SEA","SP","Min","21","0","0","0","0","0","0","0"

