"Standings - Point Totals "
"Rk","Team","Pts","+/-","WW","GP","AB","R","H","HR","RBI","SB","OPS","IP","ERA","WHIP","K","QS","SVH"
"1","Vladdy’s Daycare","95","","12","1,182","-","12","-","10","9","9","9","-","11","10","11","12","2"
"2","Scotts Tots","94","","9","1,158","-","11","-","11","11","10","10","-","8","9","12","11","1"
"3","The Old Timers","84.5","","7","1,161","-","9","-","12","12","5","12","-","4","7","10","9","4.5"
"4","OnlyDans","83.5","","2","1,232","-","8","-","3.5","5","11","4","-","10","12","8","10","12"
"5","Sasaki Bombs","72","","4","1,184","-","7","-","7","6","12","7","-","5","5","9","7","7"
"6","gochargers","64","","10","1,193","-","5","-","6","8","7","3","-","6","4","6","8","11"
"7","Kposer","57","","5","1,201","-","10","-","9","10","6","8","-","1","1","2","2","8"
"8","pcorcoran3","56","","11","1,013","-","4","-","8","7","8","11","-","3","2","4","6","3"
"9","Mount My Castle","55.5","","8","1,145","-","6","-","2","4","3","6","-","9","6","5","4.5","10"
"10","Short Porch Soldiers","40","","3","981","-","1","-","1","1","4","1","-","12","8","3","3","6"
"11","We <3 PEDs","39.5","","1","974","-","2","-","5","2","1","5","-","7","11","1","1","4.5"
"12","Fightin’ (Michael) Busch Lights","39","","6","1,198","-","3","-","3.5","3","2","2","-","2","3","7","4.5","9"

"Standings - Stat Totals "
"Rk","Team","Pts","+/-","WW","GP","AB","R","H","HR","RBI","SB","OPS","IP","ERA","WHIP","K","QS","SVH"
"1","Vladdy’s Daycare","95","","12","1,182","3,731","583","943","163","499","81",".776","710.2","3.29","1.179","740","59","24"
"2","Scotts Tots","94","","9","1,158","3,678","554","966","164","511","95",".793","753","3.71","1.186","764","50","16"
"3","The Old Timers","84.5","","7","1,161","3,543","551","914","178","535","68",".809","719","4.09","1.202","709","47","30"
"4","OnlyDans","83.5","","2","1,232","3,734","539","906","119","458","96",".729","654.2","3.42","1.133","644","48","63"
"5","Sasaki Bombs","72","","4","1,184","3,615","508","931","135","462","110",".762","658.2","3.92","1.240","646","45","36"
"6","gochargers","64","","10","1,193","3,621","472","884","125","478","78",".724","646.1","3.84","1.242","629","46","48"
"7","Kposer","57","","5","1,201","3,741","552","944","162","509","75",".767","557.2","4.45","1.300","521","32","43"
"8","pcorcoran3","56","","11","1,013","3,135","470","800","153","475","79",".797","635.1","4.38","1.264","614","44","26"
"9","Mount My Castle","55.5","","8","1,145","3,459","483","889","118","443","61",".744","640.2","3.53","1.238","627","41","47"
"10","Short Porch Soldiers","40","","3","981","3,021","379","721","93","376","67",".692","497.2","3.20","1.202","562","35","35"
"11","We <3 PEDs","39.5","","1","974","3,143","432","767","121","417","49",".733","454.2","3.72","1.141","497","30","30"
"12","Fightin’ (Michael) Busch Lights","39","","6","1,198","3,686","444","878","119","438","58",".705","636.1","4.43","1.260","641","41","46"

"Standings - Hitting"
"Rank","Team","Points","+/-","GP","AB","R","H","HR","RBI","SB","OPS"
"1","Scotts Tots","53","","993","3,678","554","966","164","511","95",".793"
"2","The Old Timers","50","","983","3,543","551","914","178","535","68",".809"
"3","Vladdy’s Daycare","49","","1002","3,731","583","943","163","499","81",".776"
"4","Kposer","43","","1018","3,741","552","944","162","509","75",".767"
"5","Sasaki Bombs","39","","1002","3,615","508","931","135","462","110",".762"
"6","pcorcoran3","38","","860","3,135","470","800","153","475","79",".797"
"7","OnlyDans","31.5","","1025","3,734","539","906","119","458","96",".729"
"8","gochargers","29","","995","3,621","472","884","125","478","78",".724"
"9","Mount My Castle","21","","965","3,459","483","889","118","443","61",".744"
"10","We <3 PEDs","15","","845","3,143","432","767","121","417","49",".733"
"11","Fightin’ (Michael) Busch Lights","13.5","","1015","3,686","444","878","119","438","58",".705"
"12","Short Porch Soldiers","8","","830","3,021","379","721","93","376","67",".692"

"Standings - Pitching"
"Rank","Team","Points","+/-","GP","IP","ERA","WHIP","K","QS","SVH"
"1","OnlyDans","52","","207","654.2","3.42","1.133","644","48","63"
"2","Vladdy’s Daycare","46","","180","710.2","3.29","1.179","740","59","24"
"3","Scotts Tots","41","","165","753","3.71","1.186","764","50","16"
"4","gochargers","35","","198","646.1","3.84","1.242","629","46","48"
"5","The Old Timers","34.5","","178","719","4.09","1.202","709","47","30"
"5","Mount My Castle","34.5","","180","640.2","3.53","1.238","627","41","47"
"7","Sasaki Bombs","33","","182","658.2","3.92","1.240","646","45","36"
"8","Short Porch Soldiers","32","","151","497.2","3.20","1.202","562","35","35"
"9","Fightin’ (Michael) Busch Lights","25.5","","183","636.1","4.43","1.260","641","41","46"
"10","We <3 PEDs","24.5","","129","454.2","3.72","1.141","497","30","30"
"11","pcorcoran3","18","","153","635.1","4.38","1.264","614","44","26"
"12","Kposer","14","","183","557.2","4.45","1.300","521","32","43"

"Runs Scored"
"Rank","Points","+/-","Team","R","+/-"
"1","12","","Vladdy’s Daycare","583",""
"2","11","","Scotts Tots","554",""
"3","10","","Kposer","552",""
"4","9","","The Old Timers","551",""
"5","8","","OnlyDans","539",""
"6","7","","Sasaki Bombs","508",""
"7","6","","Mount My Castle","483",""
"8","5","","gochargers","472",""
"9","4","","pcorcoran3","470",""
"10","3","","Fightin’ (Michael) Busch Lights","444",""
"11","2","","We <3 PEDs","432",""
"12","1","","Short Porch Soldiers","379",""

"Home Runs"
"Rank","Points","+/-","Team","HR","+/-"
"1","12","","The Old Timers","178",""
"2","11","","Scotts Tots","164",""
"3","10","","Vladdy’s Daycare","163",""
"4","9","","Kposer","162",""
"5","8","","pcorcoran3","153",""
"6","7","","Sasaki Bombs","135",""
"7","6","","gochargers","125",""
"8","5","","We <3 PEDs","121",""
"9","3.5","","Fightin’ (Michael) Busch Lights","119",""
"9","3.5","","OnlyDans","119",""
"11","2","","Mount My Castle","118",""
"12","1","","Short Porch Soldiers","93",""

"RBI"
"Rank","Points","+/-","Team","RBI","+/-"
"1","12","","The Old Timers","535",""
"2","11","","Scotts Tots","511",""
"3","10","","Kposer","509",""
"4","9","","Vladdy’s Daycare","499",""
"5","8","","gochargers","478",""
"6","7","","pcorcoran3","475",""
"7","6","","Sasaki Bombs","462",""
"8","5","","OnlyDans","458",""
"9","4","","Mount My Castle","443",""
"10","3","","Fightin’ (Michael) Busch Lights","438",""
"11","2","","We <3 PEDs","417",""
"12","1","","Short Porch Soldiers","376",""

"Stolen Bases"
"Rank","Points","+/-","Team","SB","+/-"
"1","12","","Sasaki Bombs","110",""
"2","11","","OnlyDans","96",""
"3","10","","Scotts Tots","95",""
"4","9","","Vladdy’s Daycare","81",""
"5","8","","pcorcoran3","79",""
"6","7","","gochargers","78",""
"7","6","","Kposer","75",""
"8","5","","The Old Timers","68",""
"9","4","","Short Porch Soldiers","67",""
"10","3","","Mount My Castle","61",""
"11","2","","Fightin’ (Michael) Busch Lights","58",""
"12","1","","We <3 PEDs","49",""

"On Base + Slugging Percentage"
"Rank","Points","+/-","Team","OPS","+/-"
"1","12","","The Old Timers",".809",""
"2","11","","pcorcoran3",".797",""
"3","10","","Scotts Tots",".793",""
"4","9","","Vladdy’s Daycare",".776",""
"5","8","","Kposer",".767",""
"6","7","","Sasaki Bombs",".762",""
"7","6","","Mount My Castle",".744",""
"8","5","","We <3 PEDs",".733",""
"9","4","","OnlyDans",".729",""
"10","3","","gochargers",".724",""
"11","2","","Fightin’ (Michael) Busch Lights",".705",""
"12","1","","Short Porch Soldiers",".692",""

"Earned Run Average"
"Rank","Points","+/-","Team","ERA","+/-"
"1","12","","Short Porch Soldiers","3.20",""
"2","11","","Vladdy’s Daycare","3.29",""
"3","10","","OnlyDans","3.42",""
"4","9","","Mount My Castle","3.53",""
"5","8","","Scotts Tots","3.71",""
"6","7","","We <3 PEDs","3.72",""
"7","6","","gochargers","3.84",""
"8","5","","Sasaki Bombs","3.92",""
"9","4","","The Old Timers","4.09",""
"10","3","","pcorcoran3","4.38",""
"11","2","","Fightin’ (Michael) Busch Lights","4.43",""
"12","1","","Kposer","4.45",""

"WHIP Ratio"
"Rank","Points","+/-","Team","WHIP","+/-"
"1","12","","OnlyDans","1.133",""
"2","11","","We <3 PEDs","1.141",""
"3","10","","Vladdy’s Daycare","1.179",""
"4","9","","Scotts Tots","1.186",""
"5","8","","Short Porch Soldiers","1.202",""
"6","7","","The Old Timers","1.202",""
"7","6","","Mount My Castle","1.238",""
"8","5","","Sasaki Bombs","1.240",""
"9","4","","gochargers","1.242",""
"10","3","","Fightin’ (Michael) Busch Lights","1.260",""
"11","2","","pcorcoran3","1.264",""
"12","1","","Kposer","1.300",""

"Strikeouts Pitched"
"Rank","Points","+/-","Team","K","+/-"
"1","12","","Scotts Tots","764",""
"2","11","","Vladdy’s Daycare","740",""
"3","10","","The Old Timers","709",""
"4","9","","Sasaki Bombs","646",""
"5","8","","OnlyDans","644",""
"6","7","","Fightin’ (Michael) Busch Lights","641",""
"7","6","","gochargers","629",""
"8","5","","Mount My Castle","627",""
"9","4","","pcorcoran3","614",""
"10","3","","Short Porch Soldiers","562",""
"11","2","","Kposer","521",""
"12","1","","We <3 PEDs","497",""

"Quality Starts"
"Rank","Points","+/-","Team","QS","+/-"
"1","12","","Vladdy’s Daycare","59",""
"2","11","","Scotts Tots","50",""
"3","10","","OnlyDans","48",""
"4","9","","The Old Timers","47",""
"5","8","","gochargers","46",""
"6","7","","Sasaki Bombs","45",""
"7","6","","pcorcoran3","44",""
"8","4.5","","Fightin’ (Michael) Busch Lights","41",""
"8","4.5","","Mount My Castle","41",""
"10","3","","Short Porch Soldiers","35",""
"11","2","","Kposer","32",""
"12","1","","We <3 PEDs","30",""

"Saves + Holds"
"Rank","Points","+/-","Team","SVH","+/-"
"1","12","","OnlyDans","63",""
"2","11","","gochargers","48",""
"3","10","","Mount My Castle","47",""
"4","9","","Fightin’ (Michael) Busch Lights","46",""
"5","8","","Kposer","43",""
"6","7","","Sasaki Bombs","36",""
"7","6","","Short Porch Soldiers","35",""
"8","4.5","","The Old Timers","30",""
"8","4.5","","We <3 PEDs","30",""
"10","3","","pcorcoran3","26",""
"11","2","","Vladdy’s Daycare","24",""
"12","1","","Scotts Tots","16",""

