"Standings"
"Rank","Team","W","L","T","Win%","GB","WW","PtsF","PtsA"
"1","Vladdy's Daycare","77","45","9",".626","0","12","83","54"
"2","Scotts Tots","74","49","7",".599","3","9","88.5","57"
"3","The Old Timers","69","45","16",".599","3","7","85.5","57.5"
"4","OnlyDans","65","54","11",".546","11","2","73","66.5"
"5","Kposer","69","51","10",".571","7","5","80","62"
"6","pcorcoran3","62","63","6",".496","16.5","11","71.5","70"
"7","Fightin' (Michael) Busch Lights","55","67","8",".452","23","6","58.5","81.5"
"8","Sasaki Bombs","58","59","13",".494","17","4","72","72"
"9","gochargers","51","69","9",".427","27","10","56","84"
"10","Mount My Castle","60","64","7",".484","18","8","73","70"
"11","We <3 PEDs","40","79","11",".341","36.5","1","49.5","93"
"12","Short Porch Soldiers","42","79","10",".346","35.5","3","49.5","93"

"Scoring Period: 14"
"Team (Top=Away, Bottom=Home)","W","L","T","Pts","R","HR","RBI","SB","OPS","QS","K","ERA","WHIP","SVH"
"Vladdy’s Daycare","5","5","0","5","24","5","21","3",".745","3","31","2.79","1.103","2"
"The Old Timers","4","4","2","5","31","6","25","1",".658","3","45","3.43","1.168","2"
"Scotts Tots","7","2","1","7.5","44","13","45","7",".877","4","56","3.29","1.165","3"
"OnlyDans","2","6","2","3","24","4","21","3",".690","4","45","3.57","1.265","4"
"Kposer","5","3","2","6","33","9","34","4",".775","5","43","2.63","0.925","2"
"pcorcoran3","4","5","1","4.5","29","8","29","4",".745","4","50","3.56","1.222","3"
"Fightin’ (Michael) Busch Lights","0","9","1","0.5","24","3","22","1",".607","2","43","4.73","1.429","1"
"Sasaki Bombs","7","3","0","7","36","7","29","4",".769","3","41","2.45","1.050","4"
"gochargers","1","7","2","2","22","3","20","2",".611","1","43","4.34","1.262","1"
"Mount My Castle","10","0","0","10","44","8","39","7",".844","4","54","2.31","1.029","3"
"We <3 PEDs","3","5","2","4","24","6","24","4",".731","2","43","4.09","1.336","2"
"Short Porch Soldiers","6","4","0","6","30","8","29","5",".755","3","41","2.79","1.034","4"

"Scoring Period: 13"
"Team (Top=Away, Bottom=Home)","W","L","T","Pts","R","HR","RBI","SB","OPS","QS","K","ERA","WHIP","SVH"
"Scotts Tots","9","1","0","9","40","16","44","6",".792","5","56","2.81","1.091","2"
"gochargers","1","9","0","1","27","6","26","3",".719","4","51","3.50","1.144","4"
"Mount My Castle","10","0","0","10","37","8","30","5",".751","3","49","1.80","1.125","5"
"Fightin’ (Michael) Busch Lights","0","10","0","0","28","5","24","2",".708","1","35","5.06","1.344","3"
"We <3 PEDs","3","5","2","4","19","6","21","1",".633","3","29","2.37","0.890","3"
"Kposer","5","3","2","6","34","7","30","5",".722","3","25","3.89","1.250","3"
"Short Porch Soldiers","4","5","1","4.5","16","6","24","4",".664","2","51","3.51","1.170","1"
"pcorcoran3","5","4","1","5.5","32","6","21","3",".677","4","42","3.53","1.085","2"
"Sasaki Bombs","7","2","1","7.5","35","15","34","9",".901","4","52","1.87","0.849","8"
"OnlyDans","2","7","1","2.5","41","11","41","4",".855","4","49","3.35","1.235","3"
"The Old Timers","6","3","1","6.5","29","11","29","2",".680","3","44","4.22","1.184","3"
"Vladdy’s Daycare","3","6","1","3.5","35","6","30","4",".675","3","42","4.85","1.436","1"

"Scoring Period: 12"
"Team (Top=Away, Bottom=Home)","W","L","T","Pts","R","HR","RBI","SB","OPS","QS","K","ERA","WHIP","SVH"
"gochargers","3","5","2","4","25","7","34","3",".674","4","47","4.27","1.165","3"
"Fightin’ (Michael) Busch Lights","5","3","2","6","41","14","31","3",".844","4","50","5.32","1.386","4"
"Kposer","3","6","1","3.5","42","16","43","1",".860","2","36","6.69","1.562","3"
"Scotts Tots","6","3","1","6.5","42","11","40","6",".896","5","49","4.53","1.248","2"
"pcorcoran3","1","8","1","1.5","15","4","17","4",".636","4","45","4.82","1.286","0"
"Mount My Castle","8","1","1","8.5","29","9","28","2",".669","4","52","3.00","1.104","5"
"OnlyDans","9","0","1","9.5","44","15","43","10",".830","4","45","2.85","1.049","2"
"We <3 PEDs","0","9","1","0.5","42","10","33","3",".799","1","41","4.22","1.063","2"
"Vladdy’s Daycare","7","3","0","7","49","22","56","2",".963","5","42","3.56","1.256","2"
"Short Porch Soldiers","3","7","0","3","26","8","29","6",".732","1","36","1.65","1.286","3"
"The Old Timers","5","3","2","6","42","16","55","5",".812","4","54","3.62","1.006","3"
"Sasaki Bombs","3","5","2","4","53","16","45","9",".879","3","47","4.78","1.477","3"

